PT-BG,RB-BG,PTRB-BG
0.754749596118927,0.753037512302399,1.12342143058777
0.48560044169426,0.634738445281982,0.899416089057922
0.389561086893082,0.612239599227905,0.779249250888824
0.338113635778427,0.596640050411224,0.713259994983673
0.305411398410797,0.580650806427002,0.663505494594574
0.282436192035675,0.561230659484863,0.619780838489533
0.260972648859024,0.544220089912415,0.581951141357422
0.245283529162407,0.530922651290894,0.545562326908112
0.231942921876907,0.519005179405212,0.509761512279511
0.219448238611221,0.508062064647675,0.477428376674652
0.209898933768272,0.498034536838532,0.449608385562897
0.198827758431435,0.487971901893616,0.425957053899765
0.193099975585938,0.478280186653137,0.402903616428375
0.18622787296772,0.46885871887207,0.384983777999878
0.178757563233376,0.459633469581604,0.364834249019623
0.17412742972374,0.449640393257141,0.348809599876404
0.160723477602005,0.43989422917366,0.338483035564423
0.156513676047325,0.429227232933044,0.327264100313187
0.151326715946198,0.420510292053223,0.314473927021027
0.14288392663002,0.409204095602035,0.302847146987915
0.144582942128181,0.400810420513153,0.293709367513657
0.137309715151787,0.393761038780212,0.282068222761154
0.13128887116909,0.386760115623474,0.273308336734772
0.124813444912434,0.375043720006943,0.269171714782715
0.132932543754578,0.363380193710327,0.254879236221313
0.126117616891861,0.350284934043884,0.250781178474426
0.113801285624504,0.338903367519379,0.243815302848816
0.111444644629955,0.331956207752228,0.2379380017519
0.115592643618584,0.325707137584686,0.228384137153625
0.104358226060867,0.312709897756577,0.222018271684647
0.102686382830143,0.304757088422775,0.216646686196327
0.102554149925709,0.294730365276337,0.214250579476356
0.093316815793514,0.287435591220856,0.20779675245285
0.096476301550865,0.27800190448761,0.203842520713806
0.098096452653408,0.270839512348175,0.200855001807213
0.085405014455319,0.260754734277725,0.194631978869438
0.083831317722797,0.252557665109634,0.188696250319481
0.088432051241398,0.245672285556793,0.188243255019188
0.080428332090378,0.242686450481415,0.185066729784012
0.083062708377838,0.232604026794434,0.176268294453621
0.076275125145912,0.225084334611893,0.180436998605728
0.074219480156899,0.222787410020828,0.172644540667534
0.083525247871876,0.213603168725967,0.167135536670685
0.073716841638088,0.203643590211868,0.16753962635994
0.069586724042893,0.203147262334824,0.163312256336212
0.066926442086697,0.194637760519981,0.160178691148758
0.079376362264156,0.188104420900345,0.154756084084511
0.065887771546841,0.183866903185844,0.154616236686707
0.06316139549017,0.179462626576424,0.152545318007469
0.076892770826817,0.184373080730438,0.151334494352341
0.060709502547979,0.173131048679352,0.147353574633598
0.062171943485737,0.163230732083321,0.147312149405479
0.059789773076773,0.155841305851936,0.144077345728874
0.064794681966305,0.157032430171967,0.140967532992363
0.065974429249764,0.163112536072731,0.133009299635887
0.054573331028223,0.153090313076973,0.136738568544388
0.054213047027588,0.143989861011505,0.131461098790169
0.056311793625355,0.144986897706986,0.12849235534668
0.06719196587801,0.141614556312561,0.131882935762405
0.055375292897224,0.133467644453049,0.124924533069134
0.049700736999512,0.131768047809601,0.12580768764019
0.050576768815517,0.136961981654167,0.123652674257755
0.053922258317471,0.131711527705193,0.124440841376781
0.064419895410538,0.123960442841053,0.126513928174973
0.048819806426764,0.121722735464573,0.118209645152092
0.045792102813721,0.124416261911392,0.115687400102615
0.057110261172056,0.11819127202034,0.116087891161442
0.052305936813355,0.11916521936655,0.115100525319576
0.045562397688627,0.123460359871387,0.114391945302486
0.04546694457531,0.11033134162426,0.114967927336693
0.050319414585829,0.104927025735378,0.116147749125957
0.051575239747763,0.106974832713604,0.110787391662598
0.045658886432648,0.107198096811771,0.106625951826572
0.043701067566872,0.10150434076786,0.109059453010559
0.044918291270733,0.098201647400856,0.113912045955658
0.049139481037855,0.113322719931602,0.104083016514778
0.043866068124771,0.099430173635483,0.105883590877056
0.044305011630058,0.088588275015354,0.114387638866901
0.051340997219086,0.087966740131378,0.100598603487015
0.045058514922857,0.089761711657047,0.106344185769558
0.039778370410204,0.089773193001747,0.099653765559197
0.03998489677906,0.090911716222763,0.107580199837685
